industry,slug
any,any
business development,business
copywriting & content,copywriting
customer success,supporting
technical support,technical-support
data science,data-science
design & creative,design-multimedia
web & app design,web-app-design
devops & sysadmin,admin
engineering,engineering
finance & legal,accounting-finance
hr & recruiting,hr
marketing & sales,marketing
sales,seller
seo,seo
social media marketing,smm
product & operations,management
programming,dev
